지표명,설명,상관관계,가중치
유권자 수,"2025년 8월 기준 만 18세 이상 인구 수. 선거권을 가진 유권자 규모를 가늠하기 위한 지표. ",부적,2.5
연간 이동자수,"2024년 10월부터 2025년 9월까지 행정 읍면동 경계를 넘어서 거주지를 옮긴 인구수. 해당 선거구에 얼마나 유입되거나 유출되었는지의 규모.",정적,2.5
고령층 비율,"유권자 중 만 65세 이상 인구 비율로, 보수 성향이 강한 연령층.",부적,4
청년층 비율,"유권자 중 만 39세 이하 비율로, 중도 성향이 상대적으로 강한 연령층.	",정적,3
4-50대 비율,"유권자 중 만 40~59세 비율로, 진보성향이 상대적으로 강한 연령층.",정적,3
2030여성 비율,"유권자 중 만 39세 이하 여성 비율로, 진보성향이 상대적으로 강한 연령층.",정적,5
유동성A,"2008년 이후 총선(총 5회) 동안 1위 정당이 바뀐 횟수(많을수록 1위 정당 바뀔 가능성 높음)",정적,5
경합도A,"2008년 이후 총선(총 5회)에서 1위-2위 정당 간 득표율 격차(%p)의 평균(작을수록 박빙 가능성 높음)",부적,5
유동성B,"2016년 이후 10개 선거*에서 1위 정당이 바뀐 횟수(많을수록 1위 정당 바뀔 가능성 높음)",정적,5
경합도B,"2016년 이후 10개 선거*에서 1위-2위 정당 간 간 득표율 격차(%p)의 평균(작을수록 박빙 가능성 높음)",부적,5
진보정당 득표력,2016년 이후 선거연합 없이 치른 선거에서 진보정당의 득표율 합을 평균한 값.,정적,10
진보당 당원수,"지역구가 포함된 지역위원회 소속 당원 수로, 조직력의 실질적 지표.",정적,10
진보당 지방선거 후보 수,해당 선거구에 출마하는 지방선거 후보의 수. (10월 15일 현재),정적,10
현직 득표력,2024년 총선에서 현직 의원이 획득한 득표율.,부적,10
민주당 득표력,2016년 이후 10개 선거의 민주당 평균 득표율.,부적,10
보수 득표력,2016년 이후 10개 선거의 보수 정당 평균 득표율.,부적,10

