region﻿,합계,유권자환경,정치지형,주체역량,상대역량
서울 강서구병,31.97285424,9.807643353,4.745406456,4.890255013,12.52954942
서울 관악구을,40.84469003,7.85528641,11.28336634,7.611346574,14.09469071
서울 구로구갑,41.77989269,2.191431924,10.53596608,15.45310953,13.59938517
서울 서대문구갑,47.53080935,11.64806968,9.893904737,7.984758626,18.00407631
서울 은평구갑,21.62475754,3.360474255,4.934985373,2.079235582,11.25006233
경기 고양시을,44.19563962,6.598761346,9.838933175,16.79889299,10.95905211
경기 부천시을,41.21342709,5.357843339,6.071926511,17.32492627,12.45873097
경기 수원시을,44.2698505,5.900336995,6.120034141,23.32428787,8.925191492
경기 평택시을,50.79725842,8.912893298,15.83333333,14.06826568,11.98276611
경기 화성시을,49.96107202,17.09562794,2.333333333,10.53211075,20

